Question,Option A,Option B,Option C,Option D,Correct Answer
What is the capital of France?,Paris,London,Berlin,Rome,A
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,B
What is the largest mammal in the world?,Elephant,Blue Whale,Shark,Giraffe,B
What is the chemical symbol for water?,H2O,CO2,O2,NH3,A
Who wrote 'Romeo and Juliet'?,Shakespeare,Dickens,Tolstoy,Hemingway,A
What is the square root of 64?,6,7,8,9,C
What is the main ingredient in sushi?,Bread,Pasta,Rice,Potato,C
Which gas do plants absorb during photosynthesis?,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,B
What is the speed of light?,300,000 km/s,150,000 km/s,1,000,000 km/s,10,000 km/s,A
Which element has the atomic number 1?,Oxygen,Helium,Hydrogen,Carbon,C
What is the capital of Italy?,Madrid,Berlin,Rome,Paris,C
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D
What is the hardest natural substance on Earth?,Gold,Diamond,Silver,Iron,B
Who discovered gravity?,Einstein,Newton,Galileo,Kepler,B
What is the boiling point of water?,50°C,100°C,150°C,200°C,B
What is the smallest prime number?,0,1,2,3,C
Which instrument measures atmospheric pressure?,Thermometer,Barometer,Hygrometer,Anemometer,B
What is the capital of Japan?,Seoul,Beijing,Tokyo,Bangkok,C
Who painted the Mona Lisa?,Picasso,Van Gogh,Da Vinci,Rembrandt,C
Which is the smallest continent?,Australia,Europe,Asia,Antarctica,A
What is the chemical formula of salt?,H2O,NaCl,CaCO3,KCl,B
Which country is known as the Land of the Rising Sun?,China,Japan,India,Korea,B
What is the currency of the USA?,Euro,Yen,Dollar,Pound,C
What is the process by which plants make their food?,Respiration,Photosynthesis,Digestion,Evaporation,B
What is the largest desert in the world?,Sahara,Arabian,Gobi,Antarctic,A
Who invented the telephone?,Bell,Edison,Tesla,Marconi,A
What is the main component of the sun?,Oxygen,Helium,Hydrogen,Carbon,C
Which is the tallest mountain in the world?,K2,Kilimanjaro,Everest,Annapurna,C
What is the freezing point of water?,0°C,10°C,32°C,50°C,A
What is the SI unit of force?,Newton,Pascal,Joule,Watt,A
Which bird is known for its colorful feathers?,Peacock,Parrot,Eagle,Flamingo,A
What is the first element in the periodic table?,Oxygen,Hydrogen,Helium,Lithium,B
Which is the longest river in the world?,Amazon,Nile,Ganges,Yangtze,A
Who is known as the Father of Computers?,Charles Babbage,Alan Turing,Tim Berners-Lee,Bill Gates,A
What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,C
What is the national sport of Canada?,Baseball,Soccer,Hockey,Rugby,C
Which organ is responsible for pumping blood?,Liver,Lungs,Heart,Kidneys,C
Which is the closest star to Earth?,Alpha Centauri,Sirius,Sun,Betelgeuse,C
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
What is the most spoken language in the world?,English,Chinese,Spanish,Hindi,B
Which vitamin is known as the sunshine vitamin?,Vitamin A,Vitamin C,Vitamin D,Vitamin E,C
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi Apparatus,C
Which planet is the hottest in our solar system?,Mercury,Venus,Mars,Jupiter,B
Who wrote 'The Origin of Species'?,Darwin,Newton,Einstein,Galileo,A
What is the largest organ in the human body?,Brain,Liver,Skin,Heart,C
Which gas is essential for human respiration?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,A
What is the smallest bone in the human body?,Femur,Humerus,Stapes,Rib,C
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,A
What is the main ingredient in chocolate?,Cocoa,Vanilla,Sugar,Milk,A
